Current_Table,New_Table
CES_ERP.FSCM_PROD_CONTRACTSCORE.CONTRACT_CUSTOMER_ACCOUNT_P,"{{source('CES_ERP_FSCM_CONTRACTSCORE','CONTRACT_CUSTOMER_ACCOUNT_P')}}"
CES_ERP.FSCM_PROD_LOCATION.LOCATION_DETAILS_TRANSLATION_PVOVIEW_ALL,"{{source('CES_ERP_FSCM_LOCATION','LOCATION_DETAILS_TRANSLATION_PVOVIEW_ALL')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_ARBICCEXTRACT.PAYMENT_SCHEDULE_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_ARBICCEXTRACT','PAYMENT_SCHEDULE_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_ARBICCEXTRACT.RECEIPT_HEADER_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_ARBICCEXTRACT','RECEIPT_HEADER_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_ARBICCEXTRACT.RECEIVABLE_APPLICATION_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_ARBICCEXTRACT','RECEIVABLE_APPLICATION_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_ARBICCEXTRACT.TRANSACTION_LINE_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_ARBICCEXTRACT','TRANSACTION_LINE_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_ANALYTICSSERVICE.VALUE_SET_TYPED_VALUES_PVO,"{{source('CES_ERP_FSCM_ANALYTICSSERVICE','VALUE_SET_TYPED_VALUES_PVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_GLBICCEXTRACT.SEGMENT_VALUE_HIERARCHY_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_GLBICCEXTRACT','SEGMENT_VALUE_HIERARCHY_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_ANALYTICSSERVICE.VALUE_SET_VALUES_PVO,"{{source('CES_ERP_FSCM_ANALYTICSSERVICE','VALUE_SET_VALUES_PVO')}}"
CES_ERP.FSCM_PROD_ANALYTICSSERVICE.FND_TREE_AND_VERSION_VO,"{{source('CES_ERP_FSCM_ANALYTICSSERVICE','FND_TREE_AND_VERSION_VO')}}"
CES_ERP.FREQ_FSCM_PROD_ANALYTICSSERVICE.LOOKUP_VALUES_TLPVO,"{{source('CES_ERP_FREQ_FSCM_ANALYTICSSERVICE','LOOKUP_VALUES_TLPVO')}}"
CES_ERP.FREQ_FSCM_PROD_FINGLINQUIRYBALANCES.BALANCE_PVO,"{{source('CES_ERP_FREQ_FSCM_FINGLINQUIRYBALANCES','BALANCE_PVO')}}"
CES_ERP.FREQ_FSCM_PROD_FINGLLEDGERDEFN.LEDGER_PVO,"{{source('CES_ERP_FREQ_FSCM_FINGLLEDGERDEFN','LEDGER_PVO')}}"
CES_ERP.FREQ_FSCM_PROD_FINGLCALACC.GLFISCAL_PERIOD_PVO,"{{source('CES_ERP_FREQ_FSCM_FINGLCALACC','GLFISCAL_PERIOD_PVO')}}"
CES_ERP.FREQ_FSCM_PROD_FINEXTRACT_GLBICCEXTRACT.CODE_COMBINATION_EXTRACT_PVO,"{{source('CES_ERP_FREQ_FSCM_FINEXTRACT_GLBICCEXTRACT','CODE_COMBINATION_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_FINGLINQUIRYBALANCES.BALANCE_PVO,"{{source('CES_ERP_FREQ_FSCM_FINGLINQUIRYBALANCES','BALANCE_PVO')}}"
CES_ERP.FSCM_PROD_ANALYTICSSERVICE.CURRENCIES_TLPVO,"{{source('CES_ERP_FSCM_ANALYTICSSERVICE','CURRENCIES_TLPVO')}}"
CES_ERP.FSCM_PROD_USER.USER_PVO,"{{source('CES_ERP_FSCM_USER','USER_PVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_GLBICCEXTRACT.JOURNAL_HEADER_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_GLBICCEXTRACT','JOURNAL_HEADER_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_GLBICCEXTRACT.DAILY_CONVERSION_TYPE_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_GLBICCEXTRACT','DAILY_CONVERSION_TYPE_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_PERSON.PERSON_NAME_PVOVIEW_ALL,"{{source('CES_ERP_FSCM_PERSON','PERSON_NAME_PVOVIEW_ALL')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_GLBICCEXTRACT.JOURNAL_LINE_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_GLBICCEXTRACT','JOURNAL_LINE_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_FINGLJRNLSETUPSRC.JOURNAL_SOURCE_BPVO,"{{source('CES_ERP_FSCM_FINGLJRNLSETUPSRC','JOURNAL_SOURCE_BPVO')}}"
CES_ERP.FSCM_PROD_FINGLJRNLSETUPCAT.JOURNAL_CATEGORY_BPVO,"{{source('CES_ERP_FSCM_FINGLJRNLSETUPCAT','JOURNAL_CATEGORY_BPVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_GLBICCEXTRACT.JOURNAL_BATCH_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_GLBICCEXTRACT','JOURNAL_BATCH_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_FINGLLEDGERDEFN.LEDGER_PVO,"{{source('CES_ERP_FREQ_FSCM_FINGLLEDGERDEFN','LEDGER_PVO')}}"
CES_ERP.FSCM_PROD_FINGLJRNLENTRIES.JOURNAL_ENCUMBRANCE_PVO,"{{source('CES_ERP_FSCM_FINGLJRNLENTRIES','JOURNAL_ENCUMBRANCE_PVO')}}"
CES_ERP.FSCM_PROD_FINGLJRNLENTRIES.JOURNAL_ENCUMBRANCE_PVO*/,"{{source('CES_ERP_FSCM_FINGLJRNLENTRIES','JOURNAL_ENCUMBRANCE_PVO*/')}}"
CES_ERP.FSCM_PROD_FINARTOPPUBLICMODEL.TRANSACTION_TYPE_PVO,"{{source('CES_ERP_FSCM_FINARTOPPUBLICMODEL','TRANSACTION_TYPE_PVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_GLBICCEXTRACT.JOURNAL_IMPORT_REFERENCE_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_GLBICCEXTRACT','JOURNAL_IMPORT_REFERENCE_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_XLABICCEXTRACT.SUBLEDGER_JOURNAL_TRANSACTION_ENTITY_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_XLABICCEXTRACT','SUBLEDGER_JOURNAL_TRANSACTION_ENTITY_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_FINXLABALINQSUPPREFBAL.SUPPORTING_REFERENCE_BALANCE_PVO,"{{source('CES_ERP_FSCM_FINXLABALINQSUPPREFBAL','SUPPORTING_REFERENCE_BALANCE_PVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_XLABICCEXTRACT.SUBLEDGER_APPLICATION_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_XLABICCEXTRACT','SUBLEDGER_APPLICATION_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_GLBICCEXTRACT.JOURNAL_SOURCE_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_GLBICCEXTRACT','JOURNAL_SOURCE_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_XLABICCEXTRACT.EVENT_TYPE_TLEXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_XLABICCEXTRACT','EVENT_TYPE_TLEXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_EXMBICCEXTRACT.EXPENSE_TYPE_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_EXMBICCEXTRACT','EXPENSE_TYPE_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_PERSON.GLOBAL_PERSON_PVOVIEW_ALL,"{{source('CES_ERP_FSCM_PERSON','GLOBAL_PERSON_PVOVIEW_ALL')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_EXMBICCEXTRACT.EXPENSE_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_EXMBICCEXTRACT','EXPENSE_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_FINGLCALACC.GLFISCAL_PERIOD_PVO,"{{source('CES_ERP_FREQ_FSCM_FINGLCALACC','GLFISCAL_PERIOD_PVO')}}"
